feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
clinical_only	ridge_logreg	1	1	0.7140151515151515	0.301323879647621	0.6515151515151515	0.5239042113846383	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	1	2	0.7518939393939393	0.33553375295470156	0.6827651515151515	0.5217695354398582	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	1	3	0.7481060606060606	0.42077818191994765	0.6164772727272727	0.49635133746461296	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	1	4	0.7216312056737588	0.44648056231427374	0.6320921985815603	0.5147251962633907	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	1	5	0.8770833333333333	0.49494172494172495	0.8333333333333333	0.5092580762468275	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	1	0.8030303030303031	0.5427719434230898	0.7073863636363636	0.5064021974392003	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	2	0.7746212121212122	0.36703176978818647	0.7320075757575758	0.49758097605254425	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	3	0.7178030303030303	0.38794541905827173	0.7073863636363636	0.5017774507303709	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	4	0.8156028368794326	0.5149101307189542	0.726063829787234	0.502409314764881	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	5	0.7270833333333333	0.28225765900765903	0.6729166666666666	0.5174592467557318	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	1	0.7102272727272727	0.31732298224393085	0.665719696969697	0.5072408250860049	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	2	0.8106060606060606	0.4747269173478851	0.7490530303030303	0.5149341374580569	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	3	0.850378787878788	0.5290635963363236	0.7878787878787878	0.5148212549201798	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	4	0.7783687943262412	0.5523311539162988	0.6959219858156028	0.5273176613362965	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	5	0.7041666666666666	0.28055030829773664	0.63125	0.4933030855299373	"{""model__C"": 0.01}"
