feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
clinical_only	linear_svm	1	1	0.7784090909090909	0.3399521044257886	0.8229166666666667	0.21286898238379384	"{""model__C"": 0.01}"
clinical_only	linear_svm	1	2	0.7443181818181819	0.41119494574505044	0.6827651515151515	0.22668288296104205	"{""model__C"": 0.1}"
clinical_only	linear_svm	1	3	0.6988636363636364	0.31213656158933517	0.6164772727272727	0.15262986335568596	"{""model__C"": 0.1}"
clinical_only	linear_svm	1	4	0.7163120567375887	0.5012761454450879	0.6835106382978724	0.1879149039744113	"{""model__C"": 0.1}"
clinical_only	linear_svm	1	5	0.8708333333333333	0.48866966882446755	0.8333333333333333	0.20187511154122004	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	1	0.7992424242424243	0.49541489359929936	0.6865530303030303	0.18161541925510466	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	2	0.7878787878787878	0.3838260373019731	0.7424242424242424	0.21264633534384503	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	3	0.7083333333333333	0.3822581066899249	0.6723484848484849	0.24041447282593875	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	4	0.8191489361702128	0.5363883053221289	0.7367021276595744	0.17918565729296299	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	5	0.7375	0.2843707949229771	0.7729166666666667	0.22851010281483683	"{""model__C"": 0.01}"
clinical_only	linear_svm	3	1	0.6856060606060607	0.34615440115440116	0.6410984848484849	0.24530535777509796	"{""model__C"": 0.1}"
clinical_only	linear_svm	3	2	0.803030303030303	0.4558647561588738	0.7490530303030303	0.18821457820377402	"{""model__C"": 0.01}"
clinical_only	linear_svm	3	3	0.8598484848484849	0.534616942772023	0.8229166666666667	0.18503388988653904	"{""model__C"": 0.01}"
clinical_only	linear_svm	3	4	0.8067375886524822	0.5856814572476806	0.7056737588652482	0.20101456287367736	"{""model__C"": 0.01}"
clinical_only	linear_svm	3	5	0.7020833333333334	0.286030578898226	0.6625	0.19375634677760467	"{""model__C"": 0.01}"
