feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
clinical_plus_bi	ridge_logreg	1	1	0.7348484848484849	0.3333006453679125	0.7357954545454546	0.45550011226424725	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	1	2	0.7386363636363636	0.43882390043914543	0.7386363636363636	0.4885124208832919	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	1	3	0.7575757575757576	0.4745065714501452	0.6164772727272727	0.5044008327942143	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	1	4	0.6950354609929079	0.34150992718893186	0.7774822695035462	0.4963486420186819	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	1	5	0.9083333333333334	0.6053006051919096	0.8125	0.4421154939511528	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	1	0.740530303030303	0.4249208367390186	0.5814393939393939	0.551966550080781	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	2	0.7897727272727273	0.4024831205436389	0.7670454545454546	0.448851766592515	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	3	0.6458333333333334	0.2977271196345692	0.7073863636363636	0.45008101283903307	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	4	0.8847517730496454	0.623753829016987	0.8519503546099291	0.49809797696759733	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	2	5	0.7895833333333333	0.33968647188898904	0.7916666666666667	0.4949944194168843	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	1	0.7462121212121211	0.4036850012347433	0.7320075757575758	0.48272153755131386	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	2	0.7803030303030303	0.4016359299145432	0.7736742424242424	0.48152539023412244	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	3	0.8446969696969696	0.4354956261176357	0.8229166666666667	0.4873685267274559	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	4	0.7819148936170212	0.6481137103022486	0.7579787234042553	0.46053216860723073	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	3	5	0.7020833333333333	0.2649208358609887	0.6125	0.5257303292652975	"{""model__C"": 0.01}"
