feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
bi_only	linear_svm	1	1	0.7660984848484849	0.40783610329064873	0.7774621212121212	0.2084604172593632	"{""model__C"": 0.01}"
bi_only	linear_svm	1	2	0.774621212121212	0.4340149749240658	0.7140151515151515	0.21212638500400835	"{""model__C"": 0.01}"
bi_only	linear_svm	1	3	0.7443181818181818	0.41120736196300023	0.637310606060606	0.20965572672574728	"{""model__C"": 0.01}"
bi_only	linear_svm	1	4	0.6790780141843972	0.3716674835605227	0.725177304964539	0.16535052025684885	"{""model__C"": 0.01}"
bi_only	linear_svm	1	5	0.8729166666666666	0.48397376044434864	0.8041666666666667	0.16785204012302346	"{""model__C"": 0.01}"
bi_only	linear_svm	2	1	0.7121212121212122	0.32259635243127005	0.5606060606060606	0.20537938645608528	"{""model__C"": 0.01}"
bi_only	linear_svm	2	2	0.7613636363636364	0.38531361746302306	0.7215909090909092	0.1482268755227759	"{""model__C"": 0.01}"
bi_only	linear_svm	2	3	0.6571969696969696	0.2862324056201126	0.728219696969697	0.17433812770080795	"{""model__C"": 0.01}"
bi_only	linear_svm	2	4	0.9078014184397163	0.6862723550958846	0.8519503546099291	0.16009851929358732	"{""model__C"": 0.01}"
bi_only	linear_svm	2	5	0.7895833333333333	0.3925884422594949	0.78125	0.14427905971121308	"{""model__C"": 0.01}"
bi_only	linear_svm	3	1	0.7386363636363636	0.4185015629802322	0.7073863636363636	0.18834462084408035	"{""model__C"": 0.01}"
bi_only	linear_svm	3	2	0.768939393939394	0.3847151453012697	0.6477272727272727	0.230501437153936	"{""model__C"": 0.01}"
bi_only	linear_svm	3	3	0.8541666666666666	0.45241694186358217	0.8229166666666667	0.1739296159953617	"{""model__C"": 0.01}"
bi_only	linear_svm	3	4	0.7801418439716312	0.574269943019943	0.7047872340425532	0.132817813305756	"{""model__C"": 0.01}"
bi_only	linear_svm	3	5	0.7166666666666666	0.29316040122074605	0.63125	0.15505576709413782	"{""model__C"": 0.01}"
